"Do you understand and accept the terms, including the privacy notice, above?",EnglishFirstLanguage,EnglishFluency,OtherLanguages,EnjoysPuns,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,gender,race,hispanic,age,location
Yes,Yes,Yes,French,Sometimes,6,4,6,4,3,1,2,3,5,2,1,1,1,2,1,5,2,5,1,1,1,2,2,3,3,2,4,2,2,3,Female,Asian/Pacific Islander;White,No,18-24,United States
Yes,Yes,Yes,Arabic;French,Always,1,6,3,5,6,3,5,4,5,5,4,6,5,3,6,5,5,6,6,4,6,6,5,6,6,2,6,4,5,5,Male,Asian/Pacific Islander,No,18-24,Europe
Yes,Yes,Yes,French,Sometimes,2,3,2,3,2,3,2,3,3,4,2,3,3,2,3,2,3,3,3,2,1,2,2,2,1,3,2,1,1,1,Female,White,No,18-24,United States
Yes,Yes,Yes,Spanish;Dutch,Sometimes,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,Male,White,Yes,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,4,5,2,4,6,5,6,5,5,5,6,5,5,6,5,6,5,4,4,4,5,6,6,5,4,3,6,3,4,3,Male,Asian/Pacific Islander,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,1,4,5,6,3,4,3,4,2,3,5,6,5,4,2,1,1,1,3,1,3,3,1,5,1,5,2,1,1,5,Female,White,No,45-54,United States
Yes,Yes,Yes,Spanish,Usually,1,2,4,2,1,3,3,5,1,1,1,1,2,4,3,4,1,1,2,1,1,2,1,4,3,2,2,1,1,1,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,4,5,1,3,6,2,1,1,1,6,3,2,6,1,6,5,5,4,6,6,1,3,1,3,6,5,6,2,2,1,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,2,3,4,5,6,5,6,5,5,5,4,4,5,5,5,5,5,5,6,5,4,6,3,5,6,5,3,3,5,3,Female,White,No,Under 18,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,3,6,6,3,6,4,4,2,6,2,1,4,5,6,3,6,1,6,2,1,4,4,5,1,2,1,1,1,3,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,4,5,6,5,6,6,6,6,6,6,6,2,6,6,6,6,4,4,6,6,4,5,2,6,6,6,6,5,3,5,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,1,3,3,1,4,3,1,4,3,2,2,1,1,5,1,3,3,1,2,1,6,3,2,5,5,4,4,1,1,3,Female,White,No,25-34,United States
Yes,Yes,Yes,Spanish,Always,5,3,2,5,6,4,5,5,5,2,4,2,3,5,4,4,3,4,4,3,3,2,3,3,4,3,4,1,2,2,Male,White,No,18-24,United States
Yes,Yes,Yes,French,Usually,3,3,5,1,5,4,3,2,2,1,3,3,1,3,3,4,4,3,3,5,4,2,1,4,4,5,4,4,2,2,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,6,6,4,6,6,6,4,6,5,6,4,5,6,4,6,5,5,5,6,6,4,5,4,6,4,5,5,3,3,4,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,6,4,6,6,6,2,2,2,2,5,3,1,6,3,6,1,1,5,5,4,4,5,1,1,3,1,4,1,2,2,Male,White,No,Under 18,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,6,6,6,6,5,6,6,6,5,3,2,5,6,5,5,5,4,5,6,1,3,5,5,2,5,5,1,1,1,Male,White,No,18-24,Australia
Yes,Yes,Yes,Tamil,Always,6,6,6,6,6,5,4,4,6,4,3,5,4,4,4,6,6,3,4,6,6,6,3,5,3,5,5,3,3,5,Male,Asian/Pacific Islander,No,18-24,Asia
Yes,Yes,Yes,English is my only fluent language,Always,1,4,3,6,2,3,5,4,2,1,2,3,3,4,4,3,2,5,3,2,1,2,1,4,3,3,4,1,1,6,Other,White,No,25-34,United States
Yes,Yes,Yes,German,Usually,5,6,5,4,5,6,4,6,3,6,3,6,5,4,6,6,5,1,2,5,5,6,3,4,2,6,4,2,1,2,Female,White,No,45-54,United States
Yes,Yes,Yes,English is my only fluent language,Always,1,6,6,6,3,6,6,6,6,6,6,3,6,6,6,6,3,6,6,6,3,6,3,3,6,5,6,6,5,3,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,5,4,4,5,4,2,6,2,2,2,2,4,3,3,5,4,1,3,5,2,1,5,3,2,4,2,1,4,3,4,Female,White,No,25-34,United States
Yes,No,Yes,"German;Finnish, Swedish",Usually,1,4,1,3,5,3,6,2,5,5,3,1,6,4,2,6,3,5,3,4,5,5,2,2,4,5,5,4,2,3,Female,White,No,18-24,Europe
Yes,Yes,Yes,English is my only fluent language,Usually,4,1,6,5,5,6,2,1,5,6,5,2,5,4,1,4,3,1,5,3,5,5,1,4,1,6,5,3,1,2,Female,White,No,18-24,Canada
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,4,3,1,2,1,5,3,3,1,3,2,3,3,3,2,2,3,1,1,3,1,1,2,1,2,4,1,2,2,Male,White,No,18-24,Australia
Yes,Yes,Yes,Chinese (Mandarin);French;German;Japanese;Spanish;Norwegian,Always,5,4,3,5,4,3,4,4,4,4,4,2,4,4,4,3,3,3,4,4,4,3,3,5,4,4,5,3,3,3,Male,White,No,55-64,Asia
Yes,Yes,Yes,English is my only fluent language,Usually,1,2,4,4,6,6,4,4,6,5,2,2,6,6,6,5,6,6,5,3,5,4,4,5,3,6,5,4,3,3,Female,White,No,18-24,United States
Yes,Yes,Yes,Spanish,Always,4,5,3,3,3,6,6,4,6,1,4,2,6,4,6,6,6,4,6,6,5,6,2,6,6,6,6,3,6,1,Female,Black;White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,4,4,2,4,6,3,3,3,4,3,3,2,4,5,5,6,3,2,2,4,4,3,1,2,4,2,5,5,5,1,Female,White,No,25-34,United States
Yes,No,Yes,Chinese (Mandarin);Taiwanese,Usually,3,5,2,4,4,4,5,5,4,4,4,2,6,3,4,6,2,5,3,4,5,6,3,5,6,5,3,2,5,4,Male,Asian/Pacific Islander,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,3,2,6,6,5,5,5,5,6,3,2,4,4,5,4,5,3,6,5,4,6,3,5,6,5,4,2,3,3,Male,Black;White,No,18-24,Europe
Yes,No,Yes,"At least one, either listed above or not, but prefer not to say",Usually,2,3,3,1,2,4,5,2,2,2,2,1,2,4,5,2,2,2,2,2,2,1,2,1,4,5,2,2,2,1,Female,Asian/Pacific Islander,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,3,5,5,4,6,1,2,3,2,1,2,6,1,1,1,1,2,2,1,1,1,1,4,1,2,1,1,5,1,1,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,6,6,6,6,6,4,6,1,5,3,1,4,4,6,6,2,5,1,6,2,6,3,6,4,6,6,1,1,1,Male,White,No,18-24,United States
Yes,Yes,Yes,French,Usually,4,5,4,2,5,4,3,4,3,4,1,3,6,5,5,4,2,1,4,4,2,2,4,5,5,1,5,5,3,2,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,2,5,2,3,5,5,5,2,5,5,3,2,5,3,4,4,5,2,3,4,4,3,3,4,3,3,4,3,4,2,Female,White,No,45-54,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,4,5,6,4,3,5,4,2,3,3,3,4,4,3,4,4,2,3,2,5,5,3,5,3,3,3,2,2,2,Male,Black;White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,3,4,3,5,3,3,4,4,5,5,5,2,6,3,2,4,1,3,2,3,5,3,4,4,3,5,4,3,5,Male,White,No,25-34,United States
Yes,No,Yes,Russian;Hebrew,Usually,2,3,3,3,4,2,4,4,3,4,4,3,5,2,2,5,4,3,3,4,5,2,3,5,5,4,5,4,3,4,Male,White,No,35-44,Europe
Yes,Yes,Yes,French,Usually,6,5,2,4,5,4,6,2,5,4,2,5,6,4,4,3,2,1,2,5,3,1,3,4,2,3,6,2,4,3,Male,White,No,18-24,Canada
Yes,Yes,Yes,German,Sometimes,2,4,3,4,4,2,3,3,3,4,2,2,3,2,4,2,3,2,2,4,4,3,2,3,2,3,2,4,2,2,Female,White,No,18-24,United States
Yes,Yes,Yes,French,Usually,1,2,4,4,5,2,5,5,3,2,3,3,5,2,4,6,5,1,3,1,3,4,1,6,2,4,5,2,2,1,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,6,4,2,4,6,4,5,5,2,6,3,4,4,5,5,3,5,4,5,4,2,4,2,5,2,4,3,3,2,2,Female,Asian/Pacific Islander;White,No,18-24,Canada
Yes,Yes,Yes,English is my only fluent language,Usually,5,5,6,3,1,4,6,4,4,6,4,2,1,3,5,6,1,4,6,5,4,5,4,5,3,6,5,2,2,5,Female,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,3,2,2,1,3,4,2,3,1,4,2,2,4,2,4,4,4,3,1,3,3,5,2,2,6,5,5,2,2,2,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,6,2,6,2,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,6,6,6,6,2,Female,White,No,18-24,United States
Yes,Yes,Yes,French,Sometimes,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,Male,White,Yes,18-24,United States
Yes,Yes,Yes,Spanish,Sometimes,1,5,2,6,1,5,6,2,2,4,1,2,6,1,2,4,1,4,2,4,2,5,2,6,6,5,6,1,1,1,Female,NA,Yes,18-24,United States
Yes,Yes,Yes,"At least one, either listed above or not, but prefer not to say",Usually,1,2,2,3,3,5,3,3,5,2,4,1,4,2,4,3,2,2,2,3,4,3,2,4,2,4,4,1,1,1,Male,Asian/Pacific Islander,No,18-24,Canada
Yes,Yes,Yes,English is my only fluent language,Always,1,5,2,5,2,6,2,2,4,3,3,1,4,4,4,5,2,1,5,3,1,6,1,5,4,4,5,1,1,2,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,5,5,1,3,2,1,4,4,4,2,2,1,3,2,2,2,3,2,4,3,3,1,3,2,2,3,2,3,2,1,Female,White,No,25-34,United States
Yes,Yes,Yes,Spanish,Usually,2,4,4,2,3,4,2,5,3,2,1,2,4,5,1,3,2,4,2,4,5,3,4,2,5,2,4,2,1,1,Female,White,No,18-24,United States
Yes,No,Yes,French,Always,3,2,2,6,3,2,4,4,3,2,3,4,5,6,6,4,4,6,3,5,6,5,4,6,6,4,6,5,4,5,Male,White,No,18-24,Canada
Yes,Yes,Yes,Spanish,Always,4,6,5,6,5,4,4,4,4,5,4,3,5,6,5,4,3,5,3,6,5,5,3,4,5,5,3,5,4,6,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,6,6,2,5,6,3,4,4,6,4,3,6,3,4,5,3,5,5,5,6,6,2,3,4,1,3,5,1,1,4,Female,White,No,18-24,Canada
Yes,Yes,Yes,English is my only fluent language,Always,3,5,3,4,6,3,4,4,5,1,3,3,3,5,6,4,3,3,3,5,2,2,3,4,2,4,3,3,3,3,Female,White,No,35-44,Canada
Yes,Yes,Yes,English is my only fluent language,Usually,2,3,2,3,2,3,2,3,3,3,2,2,3,3,4,3,3,3,3,2,3,3,1,3,2,2,3,4,2,2,Male,White,No,Under 18,United States
Yes,Yes,Yes,English is my only fluent language,Always,2,6,6,6,5,5,5,6,6,6,3,2,5,5,6,5,5,2,6,4,3,3,3,6,4,6,6,1,1,2,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,3,5,5,5,6,5,3,4,4,5,3,3,4,6,4,4,4,5,4,4,5,4,6,5,4,5,5,4,4,5,Male,Asian/Pacific Islander,No,18-24,Asia
Yes,Yes,Yes,English is my only fluent language,Always,6,6,4,6,1,4,5,6,5,4,5,6,4,2,4,6,6,2,5,5,6,6,3,6,3,6,5,1,2,4,Male,White,No,25-34,Canada
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,3,4,1,1,3,1,1,1,Male,White,No,25-34,United States
Yes,No,Yes,Spanish,Usually,4,3,5,4,4,3,5,6,5,2,5,2,5,2,2,5,5,6,5,2,5,5,1,5,6,5,5,3,2,5,Female,White,Yes,25-34,United States
Yes,Yes,Yes,French,Always,4,6,4,4,6,4,5,4,4,4,5,3,5,4,5,5,4,1,5,2,4,2,2,4,2,3,5,5,3,3,Other,White,No,35-44,Canada
Yes,Yes,Yes,English is my only fluent language,Usually,1,3,4,3,5,5,4,1,5,3,4,2,2,2,5,4,3,1,5,4,4,1,2,3,3,5,3,1,4,4,Male,White,No,35-44,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,1,4,3,3,2,5,4,4,2,2,1,3,2,3,3,4,2,3,4,5,5,1,2,1,4,5,1,2,2,Female,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Always,1,2,5,2,1,4,6,5,3,4,5,5,4,2,6,6,3,3,2,4,5,3,1,2,5,5,4,6,4,2,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,4,1,4,3,5,3,4,1,2,4,4,2,2,5,4,5,2,3,5,3,3,2,2,2,2,3,4,3,2,2,Male,White,No,18-24,United States
Yes,No,Yes,"At least one, either listed above or not, but prefer not to say",Usually,2,3,4,5,6,4,6,4,3,4,3,3,5,2,3,3,3,5,2,2,4,3,4,5,5,4,6,6,3,2,Female,White,No,18-24,Europe
Yes,Yes,Yes,Romanian,Always,5,1,3,2,1,4,6,6,2,2,3,1,1,5,4,5,2,1,3,4,4,1,2,3,2,3,2,2,2,1,Male,White,No,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Sometimes,5,5,2,4,6,3,2,5,1,5,3,5,4,4,2,2,3,3,4,2,6,2,4,4,2,2,2,1,4,3,Male,Black;White,No,18-24,United States
Yes,Yes,Yes,German,Usually,5,1,5,4,4,2,3,4,2,4,1,2,4,2,5,5,4,1,3,2,2,2,1,2,1,4,3,2,3,2,Female,White,No,25-34,United States
Yes,Yes,Yes,German,Usually,1,1,2,2,4,6,6,6,5,1,5,1,2,6,6,5,3,4,5,5,2,1,1,6,6,4,5,2,1,2,Male,White,No,18-24,United States
Yes,No,Yes,Hindi/Urdu,Always,5,6,4,6,6,5,6,5,6,6,5,5,5,6,5,6,6,6,5,6,6,5,4,6,5,6,6,5,5,5,Male,Asian/Pacific Islander,No,45-54,Other
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,3,4,1,5,4,5,6,6,3,6,5,3,5,3,5,3,1,1,5,6,3,1,6,1,4,6,1,5,1,Male,White,No,35-44,United States
Yes,Yes,Yes,English is my only fluent language,Usually,1,3,2,2,4,6,3,5,1,2,3,1,4,4,5,6,1,3,4,1,2,5,2,5,3,2,5,2,2,2,Male,White,No,18-24,United States
Yes,Yes,Yes,Russian,Always,2,4,1,2,2,3,3,1,4,1,2,2,3,3,4,4,3,2,2,6,2,4,3,2,3,2,3,2,2,2,Male,Asian/Pacific Islander;White,No,45-54,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,3,2,2,5,2,2,2,3,3,2,5,3,2,5,4,3,2,2,4,2,2,2,5,3,4,5,2,2,2,Male,White,No,25-34,Europe
Yes,Yes,Yes,English is my only fluent language,Sometimes,6,2,2,5,6,3,2,3,3,6,2,2,1,2,3,4,4,6,1,3,3,2,2,3,5,5,5,3,2,2,Female,Black;Other,Yes,25-34,United States
Yes,Yes,Yes,"At least one, either listed above or not, but prefer not to say",Sometimes,1,5,1,4,4,4,5,4,4,4,2,2,3,3,3,3,3,2,3,4,3,3,2,4,4,4,5,3,1,3,Male,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Always,6,4,4,5,6,4,6,5,6,1,4,4,6,2,4,6,3,6,6,6,6,6,5,4,4,3,4,3,5,3,Male,White,No,18-24,Other
Yes,Yes,Yes,English is my only fluent language,Sometimes,2,1,1,1,2,1,2,1,1,1,1,1,4,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,Female,White,No,18-24,United States
Yes,Yes,Yes,"At least one, either listed above or not, but prefer not to say",Usually,2,3,2,2,3,6,5,3,2,3,5,3,4,2,3,3,2,4,4,3,4,1,3,4,3,5,5,1,4,4,Male,Asian/Pacific Islander,No,Under 18,Asia
Yes,Yes,Yes,English is my only fluent language,Rarely,3,2,2,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,Male,White,No,18-24,Australia
Yes,Yes,Yes,English is my only fluent language,Always,6,6,6,6,6,6,6,6,6,1,6,6,1,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,1,6,Female,White,No,65+,United States
Yes,Yes,Yes,Spanish,Always,4,2,3,5,6,5,5,4,4,2,4,3,5,6,2,5,5,5,5,3,3,4,3,6,6,3,6,3,3,4,Female,Other,Yes,25-34,United States
Yes,Yes,Yes,English is my only fluent language,Usually,2,2,3,2,2,2,1,1,2,2,1,3,2,2,2,2,2,1,2,1,2,2,2,2,1,1,4,1,1,1,Male,White,No,Under 18,Australia
Yes,No,Yes,Norwegian,Always,6,5,1,2,6,2,5,3,2,3,2,3,4,4,4,5,1,5,3,5,1,4,5,5,5,5,2,1,2,2,Male,White,No,Under 18,Europe
Yes,Yes,Yes,Spanish,Usually,2,3,4,4,5,4,5,6,5,1,3,2,4,3,1,3,3,3,3,4,5,2,2,6,4,3,4,2,3,2,Female,White,No,18-24,United States
Yes,Yes,Yes,German,Sometimes,1,1,4,2,1,2,6,1,5,5,1,1,3,1,1,5,1,2,3,2,2,2,1,4,1,4,1,1,1,1,Female,White,No,Under 18,Europe
Yes,No,Yes,Hindi/Urdu;Marathi,Always,4,3,3,3,1,4,3,4,4,2,1,1,1,1,4,5,2,4,2,1,3,1,1,4,1,4,2,1,1,1,Female,Asian/Pacific Islander,No,18-24,Asia
Yes,Yes,Yes,English is my only fluent language,Sometimes,1,3,1,1,4,2,4,3,3,5,2,2,2,1,2,2,1,1,2,5,2,1,1,3,3,1,3,1,1,2,Female,White,No,18-24,Canada
Yes,Yes,Yes,English is my only fluent language,Always,3,5,3,5,3,4,3,4,4,6,2,4,3,5,3,4,5,3,4,4,3,3,3,4,4,3,2,5,3,3,Female,White,No,55-64,United States
Yes,Yes,Yes,English is my only fluent language,Always,1,5,4,5,6,5,3,5,4,6,4,3,4,6,6,4,6,6,2,5,2,5,1,3,6,5,3,2,2,1,Other,White,No,18-24,United States
Yes,Yes,Yes,English is my only fluent language,Usually,1,1,4,3,5,3,2,3,4,1,3,1,3,1,1,1,2,2,4,1,5,1,1,3,2,1,2,4,1,1,Male,White,No,18-24,United States
Yes,Yes,Yes,Spanish,Always,1,2,1,5,2,1,3,2,4,1,1,1,1,1,1,3,1,1,1,1,4,1,1,2,3,1,1,1,1,1,Male,Asian/Pacific Islander,No,35-44,United States
Yes,No,Yes,Spanish,Usually,1,2,1,2,2,1,3,3,2,1,1,2,3,3,6,1,1,1,3,2,1,2,1,3,2,1,4,3,3,2,Female,Other,Yes,18-24,South America
Yes,Yes,Yes,French,Rarely,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Female,White,No,25-34,United States
